"filename", "language", "C++", "comment", "blank", "total"
"f:\program\claudegraph\src\command\command.cpp", "C++", 1, 1, 0, 2
"f:\program\claudegraph\src\command\command.h", "C++", 13, 2, 6, 21
"f:\program\claudegraph\src\command\command_manager.cpp", "C++", 175, 35, 57, 267
"f:\program\claudegraph\src\command\command_manager.h", "C++", 49, 20, 25, 94
"f:\program\claudegraph\src\command\composite_command.cpp", "C++", 52, 5, 11, 68
"f:\program\claudegraph\src\command\composite_command.h", "C++", 16, 30, 9, 55
"f:\program\claudegraph\src\command\create_graphic_command.cpp", "C++", 97, 11, 21, 129
"f:\program\claudegraph\src\command\create_graphic_command.h", "C++", 31, 34, 11, 76
"f:\program\claudegraph\src\command\fill_command.cpp", "C++", 149, 25, 39, 213
"f:\program\claudegraph\src\command\fill_command.h", "C++", 26, 32, 12, 70
"f:\program\claudegraph\src\command\move_command.cpp", "C++", 22, 0, 6, 28
"f:\program\claudegraph\src\command\move_command.h", "C++", 17, 0, 6, 23
"f:\program\claudegraph\src\command\paste_command.cpp", "C++", 90, 7, 24, 121
"f:\program\claudegraph\src\command\paste_command.h", "C++", 29, 29, 13, 71
"f:\program\claudegraph\src\command\rotate_command.cpp", "C++", 21, 0, 6, 27
"f:\program\claudegraph\src\command\rotate_command.h", "C++", 16, 0, 5, 21
"f:\program\claudegraph\src\command\scale_command.cpp", "C++", 21, 0, 6, 27
"f:\program\claudegraph\src\command\scale_command.h", "C++", 16, 0, 5, 21
"f:\program\claudegraph\src\command\selection_command.cpp", "C++", 105, 54, 26, 185
"f:\program\claudegraph\src\command\selection_command.h", "C++", 37, 22, 19, 78
"f:\program\claudegraph\src\command\style_change_command.cpp", "C++", 255, 20, 47, 322
"f:\program\claudegraph\src\command\style_change_command.h", "C++", 49, 45, 20, 114
"f:\program\claudegraph\src\core\bezier_graphic_item.cpp", "C++", 83, 10, 18, 111
"f:\program\claudegraph\src\core\bezier_graphic_item.h", "C++", 24, 8, 9, 41
"f:\program\claudegraph\src\core\circle_graphic_item.cpp", "C++", 33, 9, 8, 50
"f:\program\claudegraph\src\core\circle_graphic_item.h", "C++", 20, 4, 7, 31
"f:\program\claudegraph\src\core\draw_strategy.cpp", "C++", 100, 38, 38, 176
"f:\program\claudegraph\src\core\draw_strategy.h", "C++", 50, 2, 10, 62
"f:\program\claudegraph\src\core\ellipse_graphic_item.cpp", "C++", 79, 20, 21, 120
"f:\program\claudegraph\src\core\ellipse_graphic_item.h", "C++", 27, 5, 8, 40
"f:\program\claudegraph\src\core\graphic.cpp", "C++", 5, 0, 3, 8
"f:\program\claudegraph\src\core\graphic.h", "C++", 73, 15, 20, 108
"f:\program\claudegraph\src\core\graphic_item.cpp", "C++", 234, 48, 67, 349
"f:\program\claudegraph\src\core\graphic_item.h", "C++", 65, 19, 22, 106
"f:\program\claudegraph\src\core\graphics_item_factory.cpp", "C++", 70, 22, 19, 111
"f:\program\claudegraph\src\core\graphics_item_factory.h", "C++", 19, 4, 7, 30
"f:\program\claudegraph\src\core\image_manager.cpp", "C++", 309, 55, 72, 436
"f:\program\claudegraph\src\core\image_manager.h", "C++", 22, 4, 10, 36
"f:\program\claudegraph\src\core\line_graphic_item.cpp", "C++", 82, 22, 22, 126
"f:\program\claudegraph\src\core\line_graphic_item.h", "C++", 22, 5, 8, 35
"f:\program\claudegraph\src\core\rectangle_graphic_item.cpp", "C++", 54, 15, 14, 83
"f:\program\claudegraph\src\core\rectangle_graphic_item.h", "C++", 21, 4, 7, 32
"f:\program\claudegraph\src\core\selection_manager.cpp", "C++", 483, 101, 116, 700
"f:\program\claudegraph\src\core\selection_manager.h", "C++", 75, 37, 42, 154
"f:\program\claudegraph\src\main.cpp", "C++", 13, 4, 7, 24
"f:\program\claudegraph\src\state\draw_state.cpp", "C++", 516, 95, 101, 712
"f:\program\claudegraph\src\state\draw_state.h", "C++", 76, 19, 24, 119
"f:\program\claudegraph\src\state\edit_state.cpp", "C++", 512, 105, 107, 724
"f:\program\claudegraph\src\state\edit_state.h", "C++", 56, 18, 20, 94
"f:\program\claudegraph\src\state\editor_state.cpp", "C++", 132, 22, 34, 188
"f:\program\claudegraph\src\state\editor_state.h", "C++", 60, 24, 23, 107
"f:\program\claudegraph\src\state\fill_state.cpp", "C++", 112, 25, 34, 171
"f:\program\claudegraph\src\state\fill_state.h", "C++", 52, 14, 14, 80
"f:\program\claudegraph\src\ui\draw_area.cpp", "C++", 865, 211, 242, 1318
"f:\program\claudegraph\src\ui\draw_area.h", "C++", 110, 26, 33, 169
"f:\program\claudegraph\src\ui\image_resizer.cpp", "C++", 417, 76, 111, 604
"f:\program\claudegraph\src\ui\image_resizer.h", "C++", 50, 12, 14, 76
"f:\program\claudegraph\src\ui\main_window.cpp", "C++", 507, 104, 109, 720
"f:\program\claudegraph\src\ui\main_window.h", "C++", 92, 13, 24, 129
"f:\program\claudegraph\src\utils\graphics_utils.cpp", "C++", 136, 19, 37, 192
"f:\program\claudegraph\src\utils\graphics_utils.h", "C++", 26, 54, 9, 89
"f:\program\claudegraph\src\utils\logger.cpp", "C++", 187, 21, 39, 247
"f:\program\claudegraph\src\utils\logger.h", "C++", 56, 89, 19, 164
"Total", "-", 7212, 1770, 1923, 10905
